distance_bin,trip_distance,total_amount,trip_duration_minutes
Short (0-1mi),3246035,7.210340578582794,5.190313993328271
Medium (1-3mi),6062200,11.58237540166936,10.834209687352226
Long (3-5mi),1532130,18.73466446058755,17.88783768348639
Very Long (5-10mi),1003792,32.89071553668489,23.05874552032028
Extreme (10+mi),576203,55.151044128544974,35.70533622698945
